Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Footnote_ukr
2024,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2024, the total number of individuals recognised under UK’s statelessness determination procedure is 389. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless. The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year.","Показники безгромадянства у Великій Британії показують кількість осіб без громадянства, визнаних за допомогою процедури визначення осіб без громадянства у Великій Британії з моменту її початку в 2013 році. У попередні роки цю цифру обчислювали шляхом додавання всіх дозволів на відпустку без громадянства. Це призвело до неминучого подвійного підрахунку для осіб без громадянства, які подали заяву на подальшу відпустку без громадянства після закінчення терміну їх початкової відпустки. Уряд Великобританії надав дані для початкових і наступних грантів. Таким чином, наступні субсидії були вилучені з попередньої сукупної цифри за 2013–2018 роки. З 2019 року сукупна цифра тепер включає лише початкові гранти на відпустку після визнання осіб особами без громадянства. Станом на 2024 рік загальна кількість осіб, визнаних відповідно до процедури визначення безгромадянства у Великій Британії, становить 389. Крім того, УВКБ ООН надає інформацію про кількість шукачів притулку та біженців, громадянство яких було зареєстровано як «апатриди» в рамках процесу отримання притулку. Для цієї групи не було офіційного визначення того, що вони є особами без громадянства. Кількість шукачів притулку без громадянства у Великій Британії, які очікують рішення, було переглянуто після рішень щодо їхніх заяв про надання притулку протягом року."
2025,Jordan, ,JOR,,REF,"The refugee population in Jordan includes 23,300 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.","Біженці в Йорданії включають 23 300 іракців, зареєстрованих УВКБ ООН. На кінець березня 2015 року уряд Йорданії оцінив чисельність іракців у 400 000 осіб. Це включає біженців та інші категорії іракців."
2022,Spain, ,ESP,,REF,"The overall figures for Spain include refugee status (6%), subsidiary protection (9%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.","Загальні цифри для Іспанії включають статус біженця (6%), додатковий захист (9%), тимчасовий захист (50%) і гуманітарні причини (35%). Джерело: Міністерство інтеграції, соціального забезпечення та міграції Іспанії."
2018,Cote d'Ivoire, ,CIV,,STA,Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2018. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.,"Цифра базується на урядовій оцінці осіб, які самі або чиї батьки чи бабусі та дідусі переїхали до Кот-д’Івуару до або одразу після здобуття незалежності та які не встановили своє громадянство під час здобуття незалежності чи до зміни закону про громадянство в 1972 році. Оцінка частково отримана на основі випадків відмови в реєстрації виборців у 2010 році, оскільки виборчі органи не могли визначити їх громадянство на той час. Оцінку скориговано, щоб відобразити кількість осіб, які отримали громадянство за допомогою спеціальної процедури «набуття громадянства за декларацією» до кінця 2018 року. Оцінка не включає осіб невідомого походження, яких покинули в дитинстві та які не вважаються громадянами відповідно до законодавства Кот-д’Івуару."
2024,Ethiopia, ,ETH,,IDP,The estimate for internally displaced people in Ethiopia included previously inaccessible locations in the Tigray region and the south of the country.,Оцінка для внутрішньо переміщених осіб в Ефіопії включала раніше недоступні місця в регіоні Тиграй і на півдні країни.
2018,Zimbabwe, ,ZWE,,STA,A study is being pursued to provide a revised estimate of this figure.,"Проводиться дослідження, щоб отримати переглянуту оцінку цієї цифри."
2019,Spain, ,ESP,,REF,"The overall figures for Spain include cases granted refugee status (3%), subsidiary protection (3%) and cases that were granted authorization to stay based on humanitarian reasons (63%).","Загальні цифри для Іспанії включають випадки надання статусу біженця (3%), додатковий захист (3%) та випадки, які отримали дозвіл на перебування з гуманітарних причин (63%)."
2022,Bosnia and Herzegovina, ,BIH,,STA,"During the year, 48 people had their nationality confirmed.",За рік підтвердили національність 48 осіб.
2018 - 2019,Philippines, ,PHL,,STA,The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality.,"Оновлена ​​цифра базується на покращенні інформації щодо осіб індонезійського походження, які отримали громадянство."
2020,Bangladesh, ,BGD,,STA,"The figure reported relates to 866,457 stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach has been used for Bangladesh since 2017.","Повідомлена цифра стосується 866 ​​457 осіб без громадянства рохінджа, які також вважаються біженцями з М’янми, переважно зі штату Ракхайн. Статистична звітність УВКБ ООН, як правило, дотримується методології, яка повідомляє лише про один правовий статус для кожної відповідної особи. Однак через чисельність рохінджа без громадянства, переміщеного з М’янми, УВКБ ООН вважає важливим відобразити подвійний статус цієї групи населення як переміщених осіб, так і осіб без громадянства. Цей підхід використовується для Бангладеш з 2017 року."
"2018 - 2019, 2021, 2024",Japan, ,JPN,,"ASY,REF,IDP,STA,OOC,HST,OIP",Figures are UNHCR estimates.,Цифри є оцінками УВКБ ООН.
2018,Papua New Guinea, ,PNG,,"REF,ASY,IDP,STA,OOC,HST,OIP",The data was provided by the Government on 3 December 2018.,Дані були надані Урядом 3 грудня 2018 року.
2023,Myanmar, ,MMR,,STA,"The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State, including stateless Rohingya IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State, increasing to 632,800 due to additional displacement (including an estimated 155,500 of those Rohingya who have been internally displaced).","Орієнтовна кількість осіб, яких стосується особа без громадянства, стосується осіб без громадянства етнічної приналежності рохінджа в штаті Ракхайн, включаючи ВПО без громадянства рохінджа в М’янмі. Кількість осіб невизначеного громадянства, які проживають в інших штатах або регіонах М’янми, наразі недоступна. Кількість осіб без громадянства, які залишилися в штаті Ракхайн після насильства в 2016 і 2017 роках і великомасштабних виїздів до Бангладеш, базується на детальних оцінках для кожного сільського масиву, зроблених УВКБ ООН, іншими агентствами ООН і неурядовими організаціями на початку 2018 року, які дійшли висновку, що від 532 000 до 600 000 рохінджа залишилися в штаті Ракхайн, збільшившись до 632 800 через до додаткового переміщення (включаючи, за оцінками, 155 500 рохінджа, які були внутрішньо переміщеними особами)."
2020,Kenya, ,KEN,,STA,"The figure of 18,500  in 2019 was an estimate by UNHCR with input from stateless communities. In December 2020 the Government of Kenya registered 1,670 stateless persons of Shona descent as citizens of Kenya putting an end to their statelessness situation. This brings the total estimated statelessness population down to 16,830.","Цифра 18 500 у 2019 році була оцінкою УВКБ ООН за участю громад без громадянства. У грудні 2020 року уряд Кенії зареєстрував 1670 осіб без громадянства походженням із шона як громадян Кенії, поклавши край їх безгромадянству. Таким чином, загальна оціночна кількість осіб без громадянства зменшилася до 16 830 осіб."
2021,United States of America, ,USA,,ASY,"UNHCR’s global reporting standard for asylum statistics is for individual level data. To meet this standard, US Citizenship and Immigration Services (USCIS) shared the 2021 asylum data expressed in terms of individuals. Previously, USCIS provided data based on asylum “cases” and average family household size, which UNHCR used to estimate the total number of individual asylum applications before USCIS. The shift in 2021 to USCIS reporting of individuals (not cases) allows for more precise reporting, as well as more consistency across the U.S. asylum data, since the U.S. Executive Office for Immigration Review (EOIR) has already been reporting individual-level asylum statistics to UNHCR. UNHCR notes that the increase in the reported number of asylum applications filed with USCIS in 2021 primarily reflects this change in reporting modality.","Глобальний стандарт звітності УВКБ ООН щодо статистики притулку стосується даних індивідуального рівня. Щоб відповідати цьому стандарту, Служба громадянства та імміграції США (USCIS) поділилася даними про надання притулку за 2021 рік, виражених у вигляді окремих осіб. Раніше USCIS надавав дані на основі «випадків» притулку та середнього розміру родини, які УВКБ ООН використовувало для оцінки загальної кількості індивідуальних заяв про притулок до USCIS. Перехід у 2021 році на звітність USCIS щодо окремих осіб (а не випадків) дозволяє точніше звітувати, а також узгоджувати дані щодо надання притулку в США, оскільки Виконавчий офіс США з питань імміграції (EOIR) уже надає УВКБ ООН статистичні дані про надання притулку на індивідуальному рівні. УВКБ ООН зазначає, що збільшення повідомленої кількості заяв про надання притулку, поданих до USCIS у 2021 році, насамперед відображає цю зміну в способі звітування."
2022,Canada,Ukraine,CAN,UKR,REF,Refers to people in refugee-like situations.,"Посилається на людей, які перебувають у ситуаціях, схожих на біженців."
2022, ,Ukraine,,UKR,OOC,"The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.","Інші цифри, що викликають занепокоєння, на кінець 2022 року відповідають кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
2023,Russian Federation,Ukraine,RUS,UKR,REF,"The figure for the Russian Federation includes 1.2 million Ukrainians who were granted refugee or temporary asylum status, as well as those recorded in the country in 2023 under other forms of stay.","Цифра по Російській Федерації включає 1,2 мільйона українців, які отримали статус біженця або тимчасового притулку, а також зафіксованих в країні в 2023 році за іншими формами перебування."
2025,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"With regards to stateless statistics, the UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013 (389 as of end-2024). UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.","Що стосується статистики осіб без громадянства, то цифри без громадянства у Великій Британії показують кількість осіб без громадянства, визнаних за допомогою процедури визначення осіб без громадянства у Великій Британії з моменту її початку в 2013 році (389 станом на кінець 2024 року). Крім того, УВКБ ООН надає інформацію про кількість шукачів притулку та біженців, громадянство яких було зареєстровано як «апатриди» в рамках процесу надання притулку. Для цієї групи не було офіційного визначення того, що вони є особами без громадянства."
2025,Netherlands (Kingdom of the), ,NLD,,REF,"The total number of refugees by mid-2025 is an estimation based on the data on recognized refugees by end-2024 as provided by authorities, adding the recognitions during the first half of 2025 and deducting the recognitions during the first half of 2015, to which the total number of temporary protection status holders by mid-year was added.","Загальна кількість біженців до середини 2025 року є оцінкою, яка базується на даних про визнаних біженців до кінця 2024 року, наданих органами влади, додаючи визнання протягом першої половини 2025 року та вираховуючи визнання протягом першої половини 2015 року, до яких було додано загальну кількість осіб, які отримали статус тимчасового захисту до середини року."
2021,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 6,047 persons who are registered as stateless by the Ministry of the Interior of Ukraine.","Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 6047 осіб, які перебувають на обліку МВС України як особи без громадянства."
2024,Denmark, ,DNK,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year reported by the Danish authorities; (b) the number of stateless refugees at year-end with valid residence permit as of 1 January 2024 and increases (e.g. recognitions) or decreases (e.g. refugee status cessation) through the year as reported by Danish authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Denmark corresponding to the resident population recorded as ""Stateless"" as of 1 January 2025, deducting the estimated number of stateless refugees at year-end.","Що стосується статистики осіб без громадянства, цифри включають: (a) кількість шукачів притулку без громадянства на кінець року, про яку повідомляють органи влади Данії; (b) кількість біженців без громадянства станом на кінець року з дійсним дозволом на проживання станом на 1 січня 2024 року та збільшується (наприклад, визнання) або зменшується (наприклад, припинення статусу біженця) протягом року, як повідомляють органи влади Данії; та (c) кількість непереміщених осіб без громадянства (тих, хто має інші типи дозволів, не пов’язаних із захистом), на основі даних Статистичного управління Данії відповідно до постійного населення, зареєстрованого як «апатриди» станом на 1 січня 2025 року, за вирахуванням оціненої кількості біженців без громадянства на кінець року."
2018 - 2025,United States of America, ,USA,,STA,"The United States of America has not adopted a formal status determination procedure to identify stateless persons, and there is no official government data-tracking of the stateless population in the USA. As such, while the USA has a stateless population, the actual number is unknown.","Сполучені Штати Америки не прийняли формальної процедури визначення статусу для ідентифікації осіб без громадянства, і в США немає офіційного державного відстеження даних про осіб без громадянства. Таким чином, хоча в США є населення без громадянства, фактична кількість невідома."
2023,Slovakia, ,SVK,,STA,"A previous estimate of persons of undetermined nationality was removed, as more comprehensive dissagregation of country of origin information of populations from the 2021 census became available.","Попередню оцінку щодо осіб невизначеної національності було вилучено, оскільки стала доступною більш повна дезагрегація інформації про країни походження населення з перепису 2021 року."
2018 - 2025,Estonia, ,EST,,STA,Almost all people recorded as being stateless have permanent residence and enjoy more rights than foreseen in the 1954 Convention relating to the Status of Stateless Persons.,"Майже всі люди, зареєстровані як особи без громадянства, мають постійне місце проживання та користуються більшими правами, ніж передбачено Конвенцією про статус осіб без громадянства 1954 року."
2021,Kyrgyzstan, ,KGZ,,STA,128 persons were naturalized or granted citizenship in 2021. The data on number of staleless persons as of 31 December 2021 is provided by the Government.,У 2021 році натуралізовано або надано громадянство 128 особам. Дані про кількість осіб без старості станом на 31 грудня 2021 року надає Уряд.
2018,Haiti, ,HTI,,STA,Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti from July 2015 to September 2017.,"Цифра стосується осіб без громадянства, які народилися в Домініканській Республіці до січня 2010 року та були ідентифіковані УВКБ ООН на Гаїті з липня 2015 року до вересня 2017 року."
2022 - 2023,Uganda, ,UGA,,STA,"This figure presents an estimate of persons with undetermined nationality/at risk of statelessness, based on joint outreach mission conducted by the Government of Uganda and UNHCR in September/October 2021, that aimed to provide estimate numbers through self-identification of communities not recognized under the Third Schedule of the 1995 Constitution.","Ця цифра представляє приблизну кількість осіб із невизначеним громадянством/групами ризику безгромадянства на основі спільної інформаційної місії, проведеної урядом Уганди та УВКБ ООН у вересні/жовтні 2021 року, яка мала на меті надати приблизну кількість шляхом самоідентифікації спільнот, не визнаних згідно з Третім додатком Конституції 1995 року."
2020,Iran (Islamic Rep. of), ,IRN,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. The figure reflected does not represent an estimation of the entire stateless population.","The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. The figure reflected does not represent an estimation of the entire stateless population."
2018 - 2019,Croatia, ,HRV,,STA,Figure from the 2011 census. It includes 28 persons registered as stateless by the Government of Croatia.,Figure from the 2011 census. It includes 28 persons registered as stateless by the Government of Croatia.
2025,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,200 non-displaced stateless people who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless people is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 119,100 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.","Загальна кількість осіб без громадянства в Малайзії включає 9200 непереміщених осіб без громадянства, які можуть мати право на громадянство Малайзії згідно із законом. Ця кількість непереміщених осіб без громадянства базується на програмі реєстрації та надання правової допомоги громаді, яка здійснюється в Західній Малайзії місцевою НУО за технічної підтримки УВКБ ООН. Повідомлена загальна кількість осіб без громадянства також включає 119 100 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн."
2019 - 2023,Syrian Arab Rep., ,SYR,,STA,"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed.","Згідно з деякими даними, багато осіб без громадянства були натуралізовані з 2011 року, але офіційні дані ще не підтверджені."
2022,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.4 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.","Національний реєстр жертв Колумбії містить дані про кількість жертв переміщення, яка продовжує зростати, враховуючи, що жертви продовжують реєструватися в країні. Таким чином, загальна кількість осіб, визнаних жертвами переміщення (понад 8,4 мільйона), включає кількість ВПО, які підлягають догляду та/або відшкодуванню, тобто тих, хто відповідає вимогам щодо доступу до заходів догляду та відшкодування, встановленим колумбійським Законом 1448 (6,8 мільйона). Кількість померлих жертв переміщення, безпосередніх жертв насильницького зникнення та вбивств, а також інших жертв, які з різних причин не мають ефективного доступу до цих заходів, визначено як такі, що не підлягають уваги чи відшкодуванню, і тому не включені до цифри 6,8 мільйонів. Цифра постійно оновлюється, враховуючи, що за юридичним визначенням жертви мають до двох років, щоб подати декларацію та бути внесеними до системи реєстру. Перегляньте резюме: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394."
2024,Iceland, ,ISL,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year as reported by the Icelandic authorities; (b) the number of stateless refugees at year-end with valid residence permits on the basis of international protection as reported by Icelandic authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Iceland corresponding to the resident population recorded as ""Stateless"" as of 1 January 2024 (no available data for end-2024 yet), deducting the reported number of stateless refugees at year-end.","Що стосується статистики без громадянства, цифри включають: (a) кількість шукачів притулку без громадянства на кінець року, як повідомляє ісландська влада; (b) кількість біженців без громадянства на кінець року з дійсними дозволами на проживання на основі міжнародного захисту, як повідомили органи влади Ісландії; та (c) кількість непереміщених осіб без громадянства (тих, хто має інші типи дозволів, не пов’язаних із захистом), на основі даних Статистичного управління Ісландії відповідно до постійного населення, зареєстрованого як «апатриди» станом на 1 січня 2024 року (ще немає доступних даних на кінець 2024 року), за вирахуванням повідомленої кількості біженців без громадянства на кінець року."
2021,Lithuania, ,LTU,,"REF,ASY,IDP,STA,OOC,HST,OIP",Data for refugees and stateless people is as of end-2020.  Data for asylum-seekers is sourced from the monthly statistics published on the Government website: https://migracija.lrv.lt/lt/statistika/prieglobscio-skyriaus-statistika/statistika-1/2021-metai,"Дані щодо біженців та осіб без громадянства наведено станом на кінець 2020 року.  Дані щодо шукачів притулку отримують із щомісячної статистики, опублікованої на веб-сайті уряду: https://migracija.lrv.lt/lt/statistika/prieglobscio-skyriaus-statistika/statistika-1/2021-metai"
2023,Spain, ,ESP,,REF,"The number of refugees is based on the data on refugees, as provided by the government. The overall figures for Spain include refugee status (7%), subsidiary protection (8%), temporary protection (50%) and humanitarian reasons (35%). Source: Spanish Ministry of Inclusion, Social Security and Migration.","Кількість біженців базується на даних про біженців, наданих урядом. Загальні цифри для Іспанії включають статус біженця (7%), додатковий захист (8%), тимчасовий захист (50%) і гуманітарні причини (35%). Джерело: Міністерство інтеграції, соціального забезпечення та міграції Іспанії."
2024 - 2025,Sweden, ,SWE,,REF,"With regards to refugee statistics, since 2024 the number of refugees in Sweden are based on data reported by authorities of persons with valid residence permits issued on the basis of international protection. The figures replace previous refugee stock estimations conducted by UNHCR.","Що стосується статистики біженців, з 2024 року кількість біженців у Швеції базується на даних, наданих органами влади щодо осіб, які мають дійсний дозвіл на проживання, виданий на основі міжнародного захисту. Цифри замінюють попередні оцінки кількості біженців, проведені УВКБ ООН."
2025,Uzbekistan, ,UZB,,STA,"Authorities in Uzbekistan confirmed that the number of stateless persons with permanent residence has decreased below 20,000, leading to a revision of the previous statistics as of 31 December 2023. The figures will be reviewed once official data for 2025 becomes available. Information on categories of statelessness, other than stateless persons with permanent residence is unavailable.","Влада Узбекистану підтвердила, що кількість осіб без громадянства з постійним місцем проживання знизилася нижче 20 000, що призвело до перегляду попередньої статистики станом на 31 грудня 2023 року. Цифри будуть переглянуті, коли стануть доступними офіційні дані за 2025 рік. Інформація про категорії осіб без громадянства, крім осіб без громадянства з постійним місцем проживання, недоступна."
2024,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2024. As updated data for some stateless populations were not yet available, some of the figures only reflect information received until mid-2024.","Особи без громадянства в Австралії надаються урядом. Вони складаються з даних про осіб без громадянства, які утримуються під вартою, і тих, хто отримав або перебуває в процесі подачі заявки на отримання «берегової гуманітарної візи» і які самі повідомили, що є особами без громадянства. В Австралії немає окремої процедури визначення статусу особи без громадянства, і надається лише статистика щодо гуманітарних віз. Через це наведена тут цифра не охоплює всіх осіб без громадянства в Австралії та не є оцінкою безгромадянства в Австралії. Дані щодо осіб без громадянства, які перебувають під вартою, взяті зі звіту Департаменту внутрішніх справ уряду Австралії та Австралійських прикордонних сил про зведення імміграційних затримань і статистики громади від 31 грудня 2024 року. Оскільки оновлені дані щодо деяких осіб без громадянства ще не були доступні, деякі цифри відображають лише інформацію, отриману до середини 2024 року."
2024 - 2025,Slovenia, ,SVN,,STA,"With regards to stateless statistics, the figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.","Що стосується статистики без громадянства, то ця цифра є оцінкою, яка ґрунтується на попередньому аналізі урядових даних неурядовими організаціями та може не відображати повного масштабу безгромадянства в Словенії."
2018,Bangladesh, ,BGD,,REF,"Refugee figure includes 906,635 stateless persons from Myanmar.",Кількість біженців включає 906 635 осіб без громадянства з М'янми.
2021 - 2022,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. According to estimates, between 1,000 and 2,000 refugees and humanitarian status holders remain in the country. It is expected that the 2021 National Census, which will include for the first-time refugee and stateless populations, will provide more accurate data by end of 2022.","Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. За оцінками, в країні залишаються від 1000 до 2000 біженців і осіб з гуманітарним статусом. Очікується, що Національний перепис населення 2021 року, який охоплюватиме осіб, які вперше стали біженцями та осіб без громадянства, надасть більш точні дані до кінця 2022 року."
2021,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement, which continues to increase given that victims continue to be registered in the country. Thus, the total number of people recognized as victims of displacement (more than 8.2 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.8 million). The number of victims of displacement who are deceased, or IDPs who were victims of homicide or forced disappearance, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.8 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.","У Національному реєстрі жертв Колумбії міститься накопичена історична цифра кількості жертв переміщення, яка продовжує зростати, оскільки жертви продовжують реєструватися в країні. Таким чином, загальна кількість людей, визнаних жертвами переміщення (понад 8,2 мільйона), включає кількість ВПО, які підлягають догляду та/або відшкодуванню, тобто тих, хто відповідає вимогам щодо доступу до заходів догляду та відшкодування, встановленим колумбійським Законом 1448 (6,8 мільйона). Кількість жертв переміщення, які померли, або ВПО, які стали жертвами вбивства чи насильницького зникнення, та інших жертв, які з різних причин не можуть ефективно отримати доступ до цих заходів, визначені як такі, що не підлягають увазі чи відшкодуванню, і тому не включені до цифри 6,8 мільйонів. Цифра постійно оновлюється, враховуючи, що за юридичним визначенням жертви мають до двох років, щоб подати декларацію та бути внесеними до системи реєстру. Перегляньте резюме: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394."
